@relation shear_viscosity_predicted

@attribute Pressure numeric
@attribute Temperature numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute X13 numeric
@attribute X14 numeric
@attribute X15 numeric
@attribute X16 numeric
@attribute X17 numeric
@attribute X18 numeric
@attribute X19 numeric
@attribute X20 numeric
@attribute X21 numeric
@attribute X22 numeric
@attribute X23 numeric
@attribute X24 numeric
@attribute X25 numeric
@attribute X26 numeric
@attribute X27 numeric
@attribute X28 numeric
@attribute X29 numeric
@attribute X30 numeric
@attribute X31 numeric
@attribute X32 numeric
@attribute X33 numeric
@attribute X34 numeric
@attribute X35 numeric
@attribute X36 numeric
@attribute X37 numeric
@attribute X38 numeric
@attribute X39 numeric
@attribute X40 numeric
@attribute X41 numeric
@attribute X42 numeric
@attribute X43 numeric
@attribute X44 numeric
@attribute X45 numeric
@attribute X46 numeric
@attribute X47 numeric
@attribute X48 numeric
@attribute X49 numeric
@attribute predictedViscosity numeric
@attribute Viscosity numeric

@data
101325,6500,0.119077,0.071097,0.04272,0.025833,0.015721,0.009628,0.005934,0.003681,0.002298,0.001444,0.000913,0.000581,0.000372,0.00024,0.000156,0.000102,0.000067,0.000044,0.000029,0.00002,0.000013,0.000009,0.000006,0.000004,0.000003,0.000002,0.000001,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.000082,0.000082
10000,9100,0.180234,0.124696,0.086664,0.060505,0.042435,0.029897,0.02116,0.015044,0.010745,0.00771,0.005558,0.004025,0.002928,0.00214,0.001571,0.001159,0.000859,0.00064,0.000479,0.00036,0.000272,0.000206,0.000157,0.00012,0.000093,0.000072,0.000056,0.000044,0.000034,0.000027,0.000021,0.000017,0.000014,0.000011,0.000009,0.000007,0.000006,0.000005,0.000004,0.000003,0.000003,0.000002,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.4,0.000106,0.000106
101325,3200,0.323337,0.113423,0.040304,0.014508,0.00529,0.001954,0.000731,0.000277,0.000106,0.000041,0.000016,0.000007,0.000003,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.000061,0.000061
30000,8400,0.225204,0.151099,0.101878,0.069029,0.047002,0.032162,0.022117,0.015284,0.010615,0.007409,0.005197,0.003663,0.002595,0.001848,0.001322,0.000951,0.000688,0.0005,0.000365,0.000268,0.000198,0.000147,0.000109,0.000082,0.000062,0.000047,0.000036,0.000027,0.000021,0.000016,0.000013,0.00001,0.000008,0.000006,0.000005,0.000004,0.000003,0.000003,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0,0,0.3,0.000104,0.000105
20000,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000053,0.000053
90000,6600,0.156864,0.094393,0.057157,0.034827,0.021354,0.013176,0.008181,0.005112,0.003214,0.002034,0.001295,0.00083,0.000535,0.000347,0.000227,0.000149,0.000099,0.000066,0.000044,0.00003,0.00002,0.000014,0.000009,0.000007,0.000005,0.000003,0.000002,0.000002,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.000085,0.000086
90000,700,0.694172,0.005777,0.000051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.00003,0.00003
10000,9200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000089,0.000088
70000,300,0.69999,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.000019,0.00002
60000,3000,0.670607,0.219374,0.072757,0.024465,0.00834,0.002883,0.00101,0.000359,0.000129,0.000047,0.000018,0.000007,0.000003,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000067,0.000067
